"COUNTRY_CODE","PROCESSING_GROUP","PROCESSING_DATE","ACBS_CUSTOMER_ID","SCI_LEID","SCI_GROUP_ID","CORE_BANKING_ID","CUSTOMER_NAME","AFFILIATE_CODE","AFFILIATE_CODE_DESCRIPTION","ARM","ARM_DESCRIPTION","COUNTRY_CREDIT_RESPONSIBILITY","COUNTRY_CREDIT_RESP_DESC","CREDIT_GRADE","CUSTOMER_LEGAL_CONSTITUTION","CUSTOMER_LEGAL_CONST_DESC","SCB_INSTITUTIONAL_CODE","SCB_INSTITUTIONAL_CODE_DESC","SCI_CUSTOMER_TYPE","SCI_CUSTOMER_TYPE_DESCRIPTION","SCI_DOMICILE_COUNTRY","SCI_DOMICILE_COUNTRY_DESC","SCI_INCORPORATION_COUNTRY","SCI_INCORPORATION_COUNTRY_DESC","SCI_ISIC_CODE","SCI_ISIC_CODE_DESCRIPTION","SCI_SEGMENT_CODE","SCI_SEGMENT_CODE_DESCRIPTION","SCI_SUB_SEGMENT_CODE","SCI_SUB_SEGMENT_CODE_DESC","SCI_GROUP_LEGAL_ENTERPRISE_ID","TODAY_IS_MONTH_END"
"CN","HK","20200630","00329779","12476409"," ","9671838","CHINA NATIONAL AGROCHEMICAL COMPANY LIMITED","999","999 Non Group","CNF68","Zheng, Gui Lan","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3514","MANUFACTURING AND PROCESSING OF NUCLEAR FUELS","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00330044","11330277"," ","8939454","GUANGXI FUNAN EAST ASIA SUGAR CO., LTD"," ","BLANKS","CNK42","WU, WINSON YU ZHENG","TH","THAILAND","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3118","SUGAR FACTORIES & REFINERIES","E","COMMODITY TRADERS AGRICULTURE","G1","AGRICULTURE"," ","Y"
"CN","HK","20200630","00330054","11670040"," ","8990778","GUANGXI EAST ASIA FUNAN SUGAR REFINERY CO.,LTD."," ","BLANKS","CNK42","WU, WINSON YU ZHENG","TH","THAILAND","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3118","SUGAR FACTORIES & REFINERIES","E","COMMODITY TRADERS AGRICULTURE","G1","AGRICULTURE"," ","Y"
"CN","HK","20200630","00330126","11205471"," ","0","DBS BANK (CHINA) LTD BEIJING BRANCH","999","999 Non Group","HKTDT","Chui, Man Shan","IN","INDIA","4B","26","PRIVATE LIMITED COMPANY - BANKS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","8123","COMMERCIAL BANKS- FOREIGN","N","FINANCIAL INSTITUTION","N5","LOCAL BANK FRANCHISE"," ","Y"
"CN","HK","20200630","00330157","12793329"," "," ","AUSTRALIA AND NEW ZEALAND BANK CHI NA COMPANY LIMITED BEIJING BRANCH"," ","BLANKS"," "," ","AU","AUSTRALIA","4B","27","PUBLIC LIMITED COMPANY - BANKS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","8123","COMMERCIAL BANKS- FOREIGN","N","FINANCIAL INSTITUTION","N6","LOCAL BANK NON-FRANCHISE"," ","Y"
"CN","HK","20200630","00330172","11033869"," ","1606204","MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD. SUZHOU BRANCH","999","999 Non Group","HKTFT","Li, Ching Ming","SG","SINGAPORE","3A","26","PRIVATE LIMITED COMPANY - BANKS","320","OTHER INCORPORATED COMPANIES","2","2","TW","TAIWAN","TW","TAIWAN","8123","COMMERCIAL BANKS- FOREIGN","N","FINANCIAL INSTITUTION","N5","LOCAL BANK FRANCHISE"," ","Y"
"CN","HK","20200630","00353194","11174052"," ","0421446","CORETRONIC (NANJING) CO., LTD","999","999 Non Group","CNJ28","Cheng, Tai","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00353364","12222727"," ","8401934","JIANGSU HAILUN PETROCHEMICAL CO.,LTD.","999","999 Non Group","CNH15","Liu, Ken Yi","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3529","MFR OF CHEMICAL PRODUCTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00353573","13086588"," ","0155421","QINGDAO NGAIHING TRADING CO., LTD","999","999 Non Group","CNA70","Zhou, Yue Caroline","SG","SINGAPORE","9A","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6135","WHOLESALE TRADE IN PLASTIC MATERIALS","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00353582","12783849"," ","9258582","IKEA COMPONENTS (SHANGHAI) CO.,LTD","999","999 Non Group","CNR22","Justine Xue","SG","SINGAPORE","3B","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6115","WHOLESALE TRADE IN FURNITURE HOME FURNISHING & OTHER HOUSEHOLD GOODS","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
